Nº ANP;TITULO;EMPRESA RESPONSÁVEL;DEMAIS PROPONENTES;QUALIFICAÇÃO;OBJETIVO;ÁREA;TEMA;SUBTEMA;EXECUTOR 1;EXECUTOR 2;EXECUTOR 3;EXECUTOR 4;EXECUTOR 5;EXECUTOR 6;EXECUTOR 7;EXECUTOR 8;Nº AUTORIZAÇÃO;DATA INÍCIO;PRAZO;VALOR CLAUSULA
21492-4;Representação de falhas transcorrentes como elemento de controle da permo-porosidade de reservatórios;PETROBRAS;;PESQUISA APLICADA;Caracterizar e representar em modelo de reservatório a variação da permoporosidade das rochas siliciclásticas deformadas por falhas transcorrentes.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;RECUPERAÇÃO AVANÇADA DE PETRÓLEO;CARACTERIZAÇÃO E ENGENHARIA DE RESERVATÓRIOS;PETROBRAS;;;;;;;;;18/07/2019;31; R$ 1,354,320.00 
21493-2;Uso de biossurfactantes na recuperação de óleo de milho pós-fermentação;SINOCHEM;;PESQUISA APLICADA;Separação do óleo de milho destilado (DCO), visando à geração de vinhaça purificada nas biorrefinarias de milho no Brasil.;BIOCOMBUSTÍVEIS;BIOETANOL;CO-PRODUTOS;SINOCHEM;UFRJ - Laboratório de Biotecnologia Microbiana - LaBiM;;;;;;;;01/07/2019;24; R$ 3,221,285.67 
21494-0;Esterificação e Glicerólise de Óleo Ácido de Milho;SINOCHEM;;PESQUISA APLICADA;O óleo ácido de milho, obtido através do processo de produção de etanol de milho, é um subproduto que não pode ser utilizado diretamente nas plantas de biodiesel tradicionais. Nesse projeto, um processo químico, utilizando glicerina advinda da indústria do biodiesel, será aplicado de maneira a melhorar esse tipo de óleo de milho, permitindo seu uso direto como matéria-prima para produção de biodiesel.;BIOCOMBUSTÍVEIS;BIODIESEL;PRODUÇÃO DE BIODIESEL;SINOCHEM;UFRJ - Laboratório de Tecnologias Verdes - GreenTec;;;;;;;;01/08/2019;24; R$ 1,478,634.10 
21495-7;Produção enzimática de biodiesel utilizando matérias-primas alternativas de baixo custo;SINOCHEM;;PESQUISA APLICADA;Desenvolvimento de estratégias para a produção de biodiesel via rota enzimática utilizando matérias-primas alternativas de baixo custo como óleos ácidos, oleínas, óleos residuais e borras ácidas, bem como etanol que é menos tóxico que metanol e produzido em larga escala a partir de fontes renováveis.;BIOCOMBUSTÍVEIS;BIODIESEL;PRODUÇÃO DE BIODIESEL;SINOCHEM;UFRJ - Laboratório de Engenharia de Polimerização - ENGEPOL;UFRJ - Laboratório de Biotecnologia Microbiana - LaBiM;UFRJ - Laboratório de Bioinformática;UFRJ - LaMMP - Laboratório de Microbiologia Molecular e Proteínas;;;;;01/07/2019;24; R$ 2,537,185.70 
21496-5;Melhoradores de Propriedades de Congelamento do Biodiesel;SINOCHEM;;PESQUISA APLICADA;"O objetivo geral do projeto é desenvolver uma alternativa para o melhoramento das propriedades de congelamento do biodiesel. Esse processo envolve como etapas: i) a isomerização seletiva dos ácidos graxos livres, de maneira a obter moléculas de ácidos graxos ramificadas; ii) esterificação dos ácidos graxos ramificados com a glicerina de maneira a incorporar esses compostos ramificados no biodiesel; iii) correlação experimental entre a concentração de moléculas ramificadas introduzidas e o CFPP.";BIOCOMBUSTÍVEIS;BIODIESEL;PRODUÇÃO DE BIODIESEL;SINOCHEM;UFRJ - Laboratório de Tecnologias Verdes - GreenTec;;;;;;;;01/08/2019;24; R$ 1,787,622.18 
21497-3;Desenvolvimento do processo de produção de etanol 2G a partir de resíduos de milho e integração com a produção de etanol 1G;SINOCHEM;;PESQUISA APLICADA;Incrementar a produção de etanol de 1ª geração (1G) a partir do amido de milho, incorporando no processo uma variedade comercial de milho transgênico contendo genes que codificam para a expressão de amilases. Adicionalmente, os resíduos lignocelulósicos oriundos do processamento do milho (sabugo e palhas) serão avaliados  para produção de etanol de 2ª geração e  de monômeros para a produção de polímeros verdes, visando a integração dos dois processos  em uma biorefinaria (1G e 2G).;BIOCOMBUSTÍVEIS;BIOCOMBUSTÍVEIS AVANÇADOS (2ª, 3ª, 4ª GERAÇÃO);PROCESSOS DE PRODUÇÃO;SENAI-MS - INSTITUTO SENAI DE INOVAÇÃO EM BIOMASSA;SINOCHEM;;;;;;;;02/07/2019;24; R$ 3,252,660.02 
21498-1;Desenvolvimento de leveduras industriais para produção de etanol de primeira e segunda geração utilizando milho e cana;SINOCHEM;;PESQUISA APLICADA;O projeto tem como objetivo desenvolver novas leveduras industriais com alto desempenho fermentativo para a produção de etanol de primeira e segunda geração utilizando como fontes de carbono as culturas de cana, milho e suas respectivas biomassas vegetais. Para tal, serão utilizadas estratégias de engenharia genética e evolutiva associadas ao banco de cepas de leveduras industriais e de genes de importância biotecnológica existentes nos laboratórios proponentes desse projeto;BIOCOMBUSTÍVEIS;BIOETANOL;PRODUÇÃO DE BIOETANOL;SENAI - SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL;SINOCHEM;UNICAMP - Grupo de Peneiras Moleculares Micro e Mesoporosas;;;;;;;01/08/2019;24; R$ 5,524,377.78 
21499-9;Desenvolvimento de processo de produção de etanol a partir de milho e cana-de-açúcar utilizando uma única linha de fermentação;SINOCHEM;;PESQUISA APLICADA;"Produzir etanol a partir de hidrolisado de milho com o caldo da cana-de-açúcar, inseridos em linha única de produção;
Reduzir perdas de açúcares e aumentar a eficiência da fermentação alcoólica por meio do controle de microrganismos contaminantes a partir do tratamento do mosto com feixe de elétrons.";BIOCOMBUSTÍVEIS;BIOETANOL;PRODUÇÃO DE BIOETANOL;SINOCHEM;USP - CENTRO DE PESQUISA PARA INOVAÇÃO EM GÁS (RCGI);;;;;;;;27/06/2019;24; R$ 2,946,104.45 
21500-4;Identificação de vazamentos em umbilicias por princípio acústico;PETROBRAS;;PESQUISA APLICADA;Desenvolver solução tecnológica que possa localizar, de preferência de forma não intrusiva, ao longo do trecho de umbilbicais submarinos, vazamentos nas mangueiras termoplásticas que conduzem o fluido hidráulico de operação de ANMs.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;MANUTENÇÃO E INSPEÇÃO - SEGURANÇA;PETROBRAS;;;;;;;;;05/07/2019;54; R$ 1,306,039.66 
21504-6;PIG de inspeção de trincas para dutos cladeados multisize;PETROBRAS;;PROTÓTIPO OU UNIDADE PILOTO;"Disponibilizar pigs para detecção de trinca em dutos cladeados, para os cenários de FPSO Cid Sao Paulo, FPSO Cid Paraty, Mero 1, Mero 2, Búzios V e Sépia, com variações de diâmetros de 4""-8""";TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;INTEGRIDADE DE EQUIPAMENTOS E INSTALAÇÕES;PETROBRAS;;;;;;;;;05/07/2019;47; R$ 935,135.80 
21505-3;Plano de Contingência de Poços em Blowout utilizando tratamento ácido;PETROBRAS;;PESQUISA APLICADA;Desenvolver um modelo para comunicar hidraulicamente um poço de alívio a um poço em blowout através da acidificação matricial do poço de alívio. A comunicação entre os dois poços através do reservatório carbonático será simulada através da injeção de um ácido newtoniano no poço de alívio, considerando alguns cenários de heterogeneidades do reservatório. Além disso, após a acidificação será realizada a modelagem de escoamento do fluido que vai fazer o amortecimento do poço em blowout.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;MANUTENÇÃO E INSPEÇÃO - SEGURANÇA;PETROBRAS;;;;;;;;;17/07/2019;36; R$ 2,176,636.66 
21506-1;Avaliação da taxa de corrosão em aços submetidos à proteção catódica com potenciais alternativos;PETROBRAS;;PESQUISA APLICADA;Determinar a taxa de corrosão em aços submetidos à proteção catódica com potenciais alternativos realizando ensaios em laboratório e em campo para avaliar a integridade de equipamentos submarinos em operação e subsidiar avaliações de extensão de vida útil.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ESTUDO DE CONFIABILIDADE E MANUTENÇÃO BASEADO EM RISCO DE SISTEMAS FLUTUANTES E DE PRODUÇÃO;PETROBRAS;;;;;;;;;02/07/2019;37; R$ 1,283,137.64 
21509-5;Bioestratigrafia de foraminíferos planctônicos do Aptiano-Albiano da Margem Continental Brasileira;PETROBRAS;;PESQUISA APLICADA;Realizar análises biocronoestratigráficas do intervalo Aptiano-Albiano nas bacias da margem continental do Brasil (MCB) com base em foraminíferos planctônicos.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES;UNISINOS - ITT FOSSIL;;;;;;;;;09/09/2019;48; R$ 4,669,315.62 
21510-3;Influência de Parâmetros Finais de Sulfetação na Atividade de Catalisadores de HDT de Diesel;PETROBRAS;;PESQUISA APLICADA;Avaliar a influência das condições finais de sulfetação (temperatura e tempo) sobre a atividade de catalisadores de hidrotramento de diesel.;ABASTECIMENTO;REFINO;SISTEMAS CATALÍTICOS;UFRJ - NUCAT - Núcleo de Catálise;;;;;;;;;22/08/2019;24; R$ 1,412,148.71 
21511-1;Desenvolvimento de tecnologia inovadora para tratamento de águas e efluentes por meio de nanomateriais.;PETROBRAS;;PESQUISA APLICADA;O objetivo geral do presente projeto consiste no desenvolvimento de tecnologia avançada para tratamento de água e efluentes da Petrobras baseada em membranas porosas obtidas majoritariamente a partir de nanomateriais bidimensionais (grafeno e derivados).;TEMAS TRANSVERSAIS;MATERIAIS;NANOMATERIAIS;IPM - Centro de Pesquisas Avançadas em Grafeno, Nanomateriais e Nanotecnologias ;;;;;;;;;10/09/2019;36; R$ 2,080,902.68 
21080-7;Projeto de infraestrutura para capacitação técnica em estudo de reologia de sistema nanoestruturados na indústria de Óleo e Gás;PETROBRAS;;INFRAESTRUTURA - REFORMA E EQUIPAMENTOS;O objetivo deste Projeto é implementar uma infraestrutura laboratorial visando sintetizar nanopartículas de carbono, incluindo grafeno e seus derivados, assim como estudar as propriedades reológicas de fluidos de perfuração e de estimulação compostos por essas nanopartículas.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;PERFURAÇÃO E COMPLETAÇÃO DE POÇOS;IPM - Centro de Pesquisas Avançadas em Grafeno, Nanomateriais e Nanotecnologias ;;;;;;;;0167/2019;10/09/2019;12; R$ 3,737,979.22 
21512-9;Estudo Comparativo do Impacto Ambiental de diferentes alternativas para Descarte e destinação de cascalho e fluidos em operações de perfuração no mar;PETROBRAS;;PESQUISA EM MEIO AMBIENTE;Avaliar alternativas tecnológicas para o descarte de cascalho e fluido de perfuração de poços de petróleo offshore, aplicáveis ao cenário brasileiro, através de indicadores de sustentabilidade, no contexto das regulações vigentes.;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;UFRJ - H2CIN - Laboratório de Hidrorrefino, Engenharia de Processos e Termodinâmica Aplicada da Escola de Química da UFRJ;;;;;;;;;10/09/2019;48; R$ 8,175,488.29 
21513-7;Elaboração de metodologias para avaliação de parâmetros operacionais sobre o desempenho da medição de vazão de escoamento multifásicos;PETROBRAS;;DESENVOLVIMENTO EXPERIMENTAL;Elaborar metodologias básicas de análise e avaliação do efeito de características operacionais multifásicas sobre o processo de medição da vazão.;GÁS NATURAL;PRODUÇÃO E PROCESSAMENTO;PROCESSAMENTO EMBARCADO;UFES - Núcleo de Estudos em Escoamento e Medição de Óleo e Gás - NEMOG;;;;;;;;;13/09/2019;24; R$ 4,106,109.36 
21514-5;Avaliação de técnicas de distância DTW e redes neurais profundas para o ajuste assistido de profundidade de amostras de testemunho e perfis de poços;PETROBRAS;;PESQUISA APLICADA;O projeto tem como objetivo a avaliação e adaptação de algoritmos DTW e GAN para o ajuste entre curvas de perfil de poços e obtidas em amostras de testemunho. Com este propósito, será possível definir profundidades para as amostras de testemunhos e encontrar correlações entre os dados rocha-perfil de forma assistida, otimizando o tempo e aumentando a acurácia do ajuste.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ENGENHARIA DE RESERVATÓRIO (SIMULAÇÃO DE FLUXO);UNICAMP - Centro de Estudos de Petróleo - CEPETRO;;;;;;;;;13/09/2019;48; R$ 4,652,610.50 
21515-2;Desenvolvimento de rota tecnológica de síntese de nanopartículas de zeólita Y aplicável a sistemas catalíticos do tipo FCC - Projeto NanoZeoY;PETROBRAS;;PESQUISA APLICADA;O objetivo do presente trabalho é desenvolver uma rota tecnológica de síntese de nanopartículas de zeólitas do tipo Y, empregando um método hidrotérmico a partir de soluções límpidas homogêneas e um processo de síntese baseado em sistemas microfluídicos, visando à aplicação em sistemas catalíticos para FCC (Craqueamento Catalítico Fluidizado);TEMAS TRANSVERSAIS;MATERIAIS;NANOMATERIAIS;IPT - Instituto de Pesquisas Tecnológicas do Estado de SP SA - IPT;;;;;;;;;16/09/2019;24; R$ 2,465,057.93 
21516-0;Identificação e correlação de superfícies estratigráficas com base nas razões das concentrações e dos isótopos estáveis de carbono orgânico total e nitrogênio total.;PETROBRAS;;PESQUISA APLICADA;Identificar a proveniência de matéria orgânica (marinha, lacustre ou derivada de plantas) contida em rochas siliciclásticas finas (lamitos) através da razão das concentrações de carbono orgânico total e nitrogênio total (COT/NT), além das assinaturas isotópicas de carbono orgânico (delta 13Corg) e nitrogênio (delta 15N) presentes na matéria orgânica dispersa nestas rochas (bulk).;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES;UFF - Laboratório de Geologia Marinha;;;;;;;;;13/09/2019;48; R$ 3,302,598.67 
21517-8;Apropriação da Produção e Medição Virtual;PETROBRAS;;PESQUISA APLICADA;O projeto tem como objetivo principal identificar tecnologias de monitoramento industrial promissoras e implementá-las em ambiente real para avaliar os resultados e quantificar os benefícios obtidos.;TEMAS TRANSVERSAIS;MATERIAIS;TECNOLOGIA DE MATERIAIS;UFRJ - Laboratório de Modelagem, Simulação e Controle de Processos - LMSCP - COPPE;;;;;;;;;17/09/2019;24; R$ 721,765.88 
21518-6;Otimização Computacional de Códigos de Inversão de Dados;PETROBRAS;;PESQUISA APLICADA;"Este projeto de pesquisa tem como objetivo investigar, propor, e
implementar provas de conceito de soluções e técnicas que visem
melhorar o desempenho computacional e a qualidade dos resultados
obtidos na abordagem de processamento de dados, detalhada na seção
anterior.";EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE NOVOS ALGORITMOS;UFRGS - Grupo de Pesquisa Sistemas de Computação para Exploração e Produção  de Petróleo.;;;;;;;;;17/09/2019;36; R$ 2,491,029.73 
21519-4;Fragilização por hidrogênio de aços de alta resistência para subsea;PETROBRAS;;PESQUISA APLICADA;O objetivo principal deste projeto é viabilizar a utilização de aços baixa-liga de maior resistência mecânica em componentes de utilização off-shore submetidos à proteção catódica. Estudos sugerem que a adição de vanádio em ligas já consolidadas pode otimizar suas propriedades em condições em que normalmente estariam suscetíveis à fragilização por Hidrogênio.;TEMAS TRANSVERSAIS;MATERIAIS;NOVOS MATERIAIS;UFRGS -  LAMEF - LABORATÓRIO DE METALURGIA FÍSICA;;;;;;;;;16/09/2019;36; R$ 1,202,177.04 
21520-2;Avaliação da atratividade técnico-econômica de processos em desenvolvimento na carteira de P&D;PETROBRAS;;PESQUISA APLICADA;"Preparar avaliações de atratividade técnico-econômica com o objetivo de fornecer ao setor de petróleo e gás natural dados para priorização de projetos de P&D.
Elaborar estudo de mercado para o acetato de isopropila.";ABASTECIMENTO;PETROQUÍMICA DE 1ª E 2ª GERAÇÃO;PROCESSOS PETROQUÍMICOS;SENAI-RJ - INSTITUTO SENAI DE INOVAÇÃO EM BIOSSINTÉTICOS_OFICIAL;;;;;;;;;17/09/2019;24; R$ 1,203,067.24 
21521-0;Calibração de modelos forward de reservatórios com dados de poços;PETROBRAS;;PESQUISA APLICADA;Desenvolvimento de uma metodologia de calibração entre os modelos gerados pela simulação de processos geológicos e as informações disponíveis nos poços.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;GEOLOGIA DE RESERVATÓRIO;UDESC - NPER - Núcleo de Petrofísica e Engenharia de Reservatórios;;;;;;;;;17/09/2019;24; R$ 1,173,158.00 
21522-8;Desenvolvimento de metodologia expressa para análise de tensão em armaduras de pressão de dutos flexíveis.;PETROBRAS;;PESQUISA APLICADA;O objetivo desse trabalho é desenvolver uma metodologia expressa para cálculo das tensões em pontos críticos dos perfis das armaduras de pressão de um tubo flexível, conhecidos os esforços que solicitam a seção transversal deste tubo e implementar essa metodologia em uma ferramenta computacional. Os resultados fornecidos por essa ferramenta devem ser verificados experimentalmente e certificados por um agente independente.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;USP - LMO - Laboratório de Mecânica Offshore;;;;;;;;;19/09/2019;30; R$ 2,685,686.86 
21523-6;AVALIAÇÃO DOS IMPACTOS DE OPERAÇÕES TERRESTRES DE E&P NOS RECURSOS HÍDRICOS SUPERFICIAIS E SUBSUPERFICIAIS;PETROBRAS;;PESQUISA EM MEIO AMBIENTE;Este projeto tem por objetivo avaliar os impactos ambientais provenientes das operações terrestres de E&P, relacionados à contaminação do solo/sedimento e de corpos hídricos (superficiais e subsuperficiais) por efluentes (fluidos de perfuração, água produzida, água oleosa, gel de perfuração), incluindo alterações na potabilidade de aquíferos.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;REMEDIAÇÃO E RECUPERAÇÃO DE ÁREAS CONTAMINADAS E IMPACTADAS;UNESP - Laboratório de Estudos de Bacias - LEBAC;;;;;;;;;19/09/2019;36; R$ 5,700,742.90 
